planner_id,displayName,planner_numericId,classId,has_text,extractor_skill_id,extractor_name,extractor_class,n_formulas,n_probes,obtainability,class_tree
amplify_damage,Amplify Damage,3,1,False,66,Amplify Damage,Shared,9,0,proc_only,0
apex_predator,Apex Predator,573,5,False,1523,Apex Predator,Paladin,3,1,obtainable,1
apprenticeship,Apprenticeship,519,4,True,1402,Apprenticeship,Necromancer,6,0,obtainable,1
arcane_blast,Arcane Blast,6,1,True,2386,Arcane Blast,Shared,4,0,obtainable,0
arcane_sustenance,Arcane Sustenance,623,3,True,1604,Arcane Sustenance,Sorceress,4,0,obtainable,1
arrow,Arrow,8,1,False,609,Arrow,Shared,2,0,proc_only,0
artifice_mastery,Artifice Mastery,357,8,True,1132,Artifice Mastery,Assassin,5,0,obtainable,1
athuluas_wrath,Athulua's Wrath,11,1,False,754,Athulua's Wrath,Shared,1,0,proc_only,0
balance,Balance,287,2,True,1043,Balance,Amazon,4,0,obtainable,1
blessed_life,Blessed Life,574,5,True,1505,Blessed Life,Paladin,8,3,obtainable,1
blood_magic,Blood Magic,290,2,True,1035,Blood Magic,Amazon,11,0,obtainable,1
bloom,Bloom,469,7,True,1326,Bloom,Druid,0,3,obtainable,1
bolt,Bolt,35,1,False,586,Bolt,Shared,2,0,proc_only,0
ceaseless_fury,Ceaseless Fury,471,7,True,1331,Ceaseless Fury,Druid,0,1,obtainable,1
cold_blooded,Cold Blooded,629,3,True,1602,Cold Blooded,Sorceress,1,0,obtainable,1
combustion,Combustion,577,5,False,1522,Combustion,Paladin,1,1,obtainable,1
concentrated_effect,Concentrated Effect,293,2,True,1070,Concentrated Effect,Amazon,3,0,obtainable,1
conclave,Conclave,578,5,True,1513,Conclave,Paladin,4,0,obtainable,1
confluence,Confluence,579,5,True,1518,Confluence,Paladin,2,0,obtainable,1
consecration,Consecration,580,5,False,1511,Consecration,Paladin,8,1,obtainable,1
cryo_beam,Cryo Beam,58,1,False,495,Cryo Beam,Shared,4,0,proc_only,0
cursebreaker,Cursebreaker,709,1,False,677,Cursebreaker,Shared,1,0,unobtainable,0
death_pact,Death Pact,528,4,True,1391,Death Pact,Necromancer,13,2,obtainable,1
determination,Determination,632,3,True,1606,Determination,Sorceress,4,1,obtainable,1
devastation,Devastation,70,1,False,612,Devastation,Shared,1,0,proc_only,0
drakemaw,Drakemaw,675,1,False,391,Drakemaw,Paladin,3,0,proc_only,0
elemental_command,Elemental Command,306,2,True,1058,Elemental Command,Amazon,7,0,obtainable,1
elemental_overload,Elemental Overload,417,6,True,1235,Elemental Overload,Barbarian,3,0,obtainable,1
entanglement,Entanglement,634,3,True,1608,Entanglement,Sorceress,5,2,obtainable,1
execution,Execution,371,8,False,1153,Execution,Assassin,2,0,obtainable,1
eye_of_the_storm,Eye of the Storm,635,3,True,1594,Eye of the Storm,Sorceress,7,2,obtainable,1
fervor,Fervor,588,5,False,1514,Fervor,Paladin,5,0,obtainable,1
fire_fountain,Fire Fountain,84,1,False,498,Fire Fountain,Shared,1,1,proc_only,0
frostbite,Frostbite,589,5,False,1517,Frostbite,Paladin,1,0,obtainable,1
frostborn,Frostborn,643,3,True,1591,Frostborn,Sorceress,7,0,obtainable,1
gift_of_inner_fire,Gift of Inner Fire,97,1,True,705,Gift of Inner Fire,Shared,7,0,obtainable,0
grim_vision,Grim Vision,544,4,True,1424,Grim Vision,Necromancer,4,2,obtainable,1
immortal,Immortal,426,6,True,1229,Immortal,Barbarian,8,0,obtainable,1
incineration,Incineration,651,3,True,1599,Incineration,Sorceress,2,0,obtainable,1
indomitable,Indomitable,323,2,True,1063,Indomitable,Amazon,4,0,obtainable,1
inoculation,Inoculation,701,3,True,1597,Inoculation,Sorceress,3,0,obtainable,1
javelin,Javelin,122,1,False,588,Javelin,Shared,2,0,proc_only,0
javelin_nova,Javelin Nova,123,1,False,625,Javelin Nova,Shared,2,0,obtainable,0
knife_throw,Knife Throw,126,1,False,591,Knife Throw,Shared,2,0,proc_only,0
life_and_death,Life and Death,593,5,True,1500,Life and Death,Paladin,9,1,obtainable,1
lightning_streak,Lightning Streak,140,1,False,467,Lightning Streak,Shared,8,0,proc_only,0
lioness,Lioness,326,2,True,1039,Lioness,Amazon,11,0,obtainable,1
living_flame,Living Flame,652,3,True,1562,Living Flame,Sorceress,8,0,obtainable,1
mana_sweep,Mana Sweep,654,3,True,1579,Mana Sweep,Sorceress,6,1,obtainable,1
melee_devotion,Melee Devotion,329,2,True,1093,Melee Devotion,Amazon,3,0,obtainable,1
mind_spark,Mind Spark,656,3,True,1595,Mind Spark,Sorceress,7,0,obtainable,1
nova,Nova,153,1,False,48,Nova,Shared,2,0,obtainable,0
pain_spirit,Pain Spirit,160,1,False,487,Pain Spirit,Shared,2,0,proc_only,0
primordial_might,Primordial Might,660,3,True,1601,Primordial Might,Sorceress,4,1,obtainable,1
prismatic_cloak,Prismatic Cloak,383,8,True,1141,Prismatic Cloak,Assassin,10,0,obtainable,1
punisher_barrage,Punisher Barrage,167,1,False,448,Punisher Barrage,Shared,2,0,proc_only,0
reaper,Reaper,557,4,True,1429,Reaper,Necromancer,2,0,obtainable,1
rime,Rime,664,3,True,1592,Rime,Sorceress,3,0,obtainable,1
ring_of_flames,Ring of Flames,185,1,False,798,Ring of Flames,Shared,2,0,proc_only,0
rite_of_the_restless,Rite of the Restless,600,5,True,1525,Rite of the Restless,Paladin,1,0,obtainable,1
rite_of_thorns,Rite of Thorns,601,5,True,1524,Rite of Thorns,Paladin,1,0,obtainable,1
rotting_flesh,Rotting Flesh,189,1,False,581,Rotting Flesh,Shared,1,0,proc_only,0
rune_of_ice,Rune of Ice,191,1,False,436,Rune of Ice,Shared,3,3,obtainable,0
sanctity,Sanctity,602,5,False,1526,Sanctity,Paladin,8,0,obtainable,1
scream_of_tragoul,Scream of Trag'Oul,196,1,True,2428,Scream of Trag'Oul,Shared,3,0,obtainable,0
seal_of_fire,Seal of Fire,198,1,False,496,Seal of Fire,Shared,5,2,proc_only,0
shackles_of_ice,Shackles of Ice,201,1,False,480,Shackles of Ice,Shared,3,2,obtainable,0
shatterblade,Shatterblade,205,1,False,462,Shatterblade,Shared,2,0,proc_only,0
shockwave,Shockwave,207,1,False,574,Shockwave,Shared,4,0,proc_only,0
short_duration_superbeast,Short Duration Superbeast,208,1,True,627,Short Duration Superbeast,Shared,17,2,proc_only,0
solstice_and_equinox,Solstice and Equinox,608,5,True,1487,Solstice and Equinox,Paladin,9,1,obtainable,1
soulchain,Soulchain,562,4,True,1440,Soulchain,Necromancer,13,0,obtainable,1
specialization,Specialization,342,2,True,1096,Specialization,Amazon,4,0,obtainable,1
spike_rush,Spike Rush,217,1,False,378,Spike Rush,Shared,1,0,obtainable,0
squall_wave,Squall Wave,222,1,False,443,Squall Wave,Shared,3,0,proc_only,0
stormlord,Stormlord,610,5,True,1497,Stormlord,Paladin,8,0,obtainable,1
stormpike,Stormpike,227,1,False,492,Stormpike,Shared,2,0,proc_only,0
subterfuge,Subterfuge,394,8,True,1124,Subterfuge,Assassin,6,0,obtainable,1
summon_familiars,Summon Familiars,395,8,False,1150,Summon Familiars,Assassin,17,0,obtainable,1
terror,Terror,565,4,True,1437,Terror,Necromancer,3,1,obtainable,1
the_last_warchief,The Last Warchief,132,1,True,2891,The Last Warchief,Shared,8,0,obtainable,0
thunder_hammer,Thunder Hammer,248,1,False,605,Thunder Hammer,Shared,2,0,obtainable,0
thunder_hammer_nova,Thunder Hammer Nova,249,1,False,599,Thunder Hammer Nova,Shared,1,0,proc_only,0
